MEM,func,k,AAE,ARE,_sum,throughput
100,CuckooSketchPro,400,0.1575,0.00223773,400/400,26.9157,
100,heavykeeper,400,9.115,0.124807,379/400,16.8407,
100,LossyCounting,400,243.66,213.747,48/400,1.91211,
100,spacesaving,400,432.275,361.859,59/400,17.5119,
100,CuckooCounter,500,0.508,0.0867427,472/500,19.7812,
100,CuckooSketch,500,0.216,0.0125806,469/500,20.893,
100,CuckooSketchPro,500,0.294,0.0119444,468/500,26.6227,
100,heavykeeper,500,8.824,0.181225,402/500,16.6806,
100,LossyCounting,500,250.128,226.197,48/500,1.98977,
100,spacesaving,500,437.048,355.312,72/500,17.5827,
100,CuckooCounter,600,1.15333,0.514006,501/600,18.8324,
100,CuckooSketch,600,0.443333,0.126434,513/600,20.5427,
100,CuckooSketchPro,600,0.311667,0.0198666,512/600,26.8068,
100,heavykeeper,600,8.55833,0.249202,423/600,16.4549,
100,LossyCounting,600,254.44,234.498,48/600,1.92717,
100,spacesaving,600,441.453,353.809,80/600,17.3527,
100,CuckooCounter,700,1.53714,0.744605,516/700,19.2771,
100,CuckooSketch,700,0.564286,0.192893,561/700,20.8951,
100,CuckooSketchPro,700,0.321429,0.0310104,559/700,26.8197,
100,heavykeeper,700,8.2,0.301797,425/700,16.3311,
100,LossyCounting,700,257.52,240.427,48/700,1.93722,
100,spacesaving,700,446.697,356.967,81/700,17.6162,
100,CuckooCounter,800,1.94375,1.0497,533/800,19.1069,
100,CuckooSketch,800,0.71,inf,578/800,20.8842,
100,CuckooSketchPro,800,0.34125,0.0427591,577/800,26.3407,
100,heavykeeper,800,7.74,0.268377,430/800,16.2462,
100,LossyCounting,800,259.83,244.873,48/800,1.92749,
100,spacesaving,800,451.051,358.861,81/800,17.5325,
100,CuckooCounter,900,2.34222,1.24385,541/900,18.895,
100,CuckooSketch,900,0.82,inf,592/900,20.8812,
100,CuckooSketchPro,900,0.361111,0.0681007,589/900,26.5146,
100,heavykeeper,900,8.25333,0.268688,431/900,16.1676,
100,LossyCounting,900,261.627,248.332,48/900,1.96467,
100,spacesaving,900,446.71,344.491,108/900,17.4283,
100,CuckooCounter,1000,2.756,1.48321,556/1000,18.6853,
100,CuckooSketch,1000,0.901,inf,610/1000,20.7715,
100,CuckooSketchPro,1000,0.366,0.0800573,606/1000,26.8298,
